pl_name,hostname,sy_dist,pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_lum,st_rad,st_mass,st_age,st_spectype,discoverymethod,disc_year,pl_controv_flag
Kepler-881 b,Kepler-881,1375.18000000,1.78000000,,4.44448017000,0.0552000000,1217.00,5961.00,0.11975,1.090000,1.060000,3.8000,,Transit,2016,0
Kepler-1294 b,Kepler-1294,1855.70000000,3.19000000,,115.68622580000,0.4684000000,401.00,5776.00,0.42138,0.970000,0.990000,3.9800,,Transit,2016,0
HD 153557 c,HD 153557,17.94120000,4.36000000,,15.27018000000,0.1110000000,,4837.00,-0.56249,0.745171,0.790000,,K0,Radial Velocity,2022,0
Kepler-1255 b,Kepler-1255,1617.07000000,2.32000000,,36.29193360000,0.2226000000,694.00,6018.00,0.30726,1.120000,1.080000,3.5500,,Transit,2016,0
M62H b,M62H,,,7.85036165290000e+02,0.13293502800,,,,,,1.400000,,,Pulsar Timing,2024,0
TOI-1136 d,TOI-1136,84.53620000,4.62700000,8.35000000000000e+00,12.51990000000,0.1062000000,843.00,5770.00,-0.02687,0.968000,1.022000,0.7000,,Transit,2022,0
Kepler-127 b,Kepler-127,352.79400000,1.40000000,,14.43588900000,0.1250000000,884.00,6106.00,0.40651,1.359000,1.248000,2.6900,,Transit,2014,0
Kepler-1736 b,Kepler-1736,1430.00000000,3.87658560,,37.81029892000,0.2188000000,566.00,6085.00,0.40206,0.973000,0.976000,1.7000,,Transit,2021,0
GJ 9827 b,GJ 9827,29.66100000,1.44000000,4.28000000000000e+00,1.20897400000,0.0189000000,1035.01,4236.00,-1.00436,0.580000,0.620000,5.4650,K7 V,Transit,2017,0
Kepler-532 b,Kepler-532,312.79800000,2.57000000,,12.92491623000,0.1015100000,620.00,5192.00,-0.45789,0.790000,0.870000,2.0000,,Transit,2016,0
Kepler-1871 b,Kepler-1871,854.62300000,2.42172881,,1.95270001900,0.0308000000,1403.00,5741.00,0.00294,0.946000,1.020000,5.7000,,Transit,2021,0
Kepler-1457 b,Kepler-1457,889.88500000,1.99000000,,51.11102430000,0.2639100000,478.00,5866.00,0.21547,1.010000,1.010000,3.7200,,Transit,2016,0
Teegarden's Star b,Teegarden's Star,3.83078000,1.05000000,,4.90634000000,0.0259000000,277.00,3034.00,-3.14146,0.120000,0.097000,8.0000,M7.0 V,Radial Velocity,2019,0
Teegarden's Star c,Teegarden's Star,3.83078000,1.02000000,,11.41600000000,0.0455000000,209.00,3034.00,-3.14146,0.120000,0.097000,8.0000,M7.0 V,Radial Velocity,2019,0
TOI-1136 f,TOI-1136,84.53620000,3.73591482,9.70000000000000e+00,26.32100000000,0.1740000000,658.00,5770.00,-0.02687,0.968000,1.022000,0.7000,,Transit,2022,0
TOI-1448 b,TOI-1448,73.33450000,2.74900000,1.95000000000000e+01,8.11224500000,0.0567000000,426.00,3412.00,-1.75498,0.380000,0.372000,,,Transit,2024,0
TOI-2120 b,TOI-2120,32.17550000,2.12200000,6.80000000000000e+00,5.79981640000,0.0377000000,384.00,3131.00,-2.28651,0.245000,0.211000,,,Transit,2024,0
TOI-2337 b,TOI-2337,536.04600000,10.08808263,5.08525451200000e+02,2.99432000000,,1272.46,4780.00,0.68900,3.220000,1.325000,4.9000,,Transit,2022,0
TOI-4329 b,TOI-4329,717.12800000,16.81347105,1.43022783150000e+02,2.92230000000,,2027.12,6000.00,0.79931,2.310000,1.538000,2.3900,,Transit,2022,0
TOI-2445 b,TOI-2445,48.58200000,1.25000000,,0.37112810000,0.0064000000,1060.00,3333.00,-2.08408,0.270000,0.250000,,,Transit,2022,0
HIP 109600 b,HIP 109600,66.33610000,13.20000000,,232.08000000000,0.7060000000,,5530.00,-0.07873,0.971958,0.870000,,G5,Radial Velocity,2016,0
Kepler-1923 b,Kepler-1923,990.83800000,1.95958179,,52.60969925000,0.2846000000,553.00,5881.00,0.25700,1.294000,1.109000,,,Transit,2021,0
Kepler-467 b,Kepler-467,466.26500000,2.25000000,,24.99324193000,0.1684800000,712.00,5809.00,0.32254,1.370000,1.050000,8.1300,,Transit,2016,0
Kepler-302 c,Kepler-302,1402.58000000,12.45000000,,127.28218400000,0.5030000000,392.00,5740.00,0.04949,1.220000,1.021000,4.4700,,Transit,2014,0
TOI-2180 b,TOI-2180,116.68500000,11.32107051,8.75617261285000e+02,260.79000000000,0.8280000000,348.00,5695.00,0.40552,1.636000,1.111000,8.1000,G5,Transit,2022,0
Kepler-683 b,Kepler-683,1023.07000000,1.97000000,,2.53918317900,0.0355000000,1332.00,5703.00,-0.04054,0.950000,0.960000,4.3700,,Transit,2016,0
Kepler-120 b,Kepler-120,388.63000000,2.15000000,8.50000000000000e+00,6.31250100000,0.0550000000,575.00,4096.00,-0.67701,0.534000,0.654000,3.6300,M0 V,Transit,2014,0
TOI-5720 b,TOI-5720,35.82560000,1.09000000,4.30000000000000e+00,1.43445550000,0.0182880000,708.00,3325.00,-1.79183,0.383000,0.383000,5.0000,M3.5 +/- 1.0,Transit,2024,0
TOI-2447 b,TOI-2447,148.98700000,9.60609646,1.24906563951000e+02,69.33684000000,0.3470000000,414.00,5730.00,0.04891,1.006000,1.034000,2.1000,,Transit,2024,0
Kepler-1326 b,Kepler-1326,698.32600000,4.18000000,,42.35142670000,0.2743000000,938.00,6725.00,0.52296,1.740000,1.450000,1.7000,,Transit,2016,0
Kepler-9 b,Kepler-9,628.25700000,8.29000000,4.34000000000000e+01,19.23891000000,0.1430000000,661.00,5774.00,-0.03800,0.958000,1.022000,2.0000,,Transit,2010,0
Kepler-406 c,Kepler-406,364.03000000,0.85000000,2.71000000000000e+00,4.62332000000,0.0553100000,1050.00,5538.00,0.04820,1.070000,1.070000,5.8400,,Transit,2014,0
Kepler-315 b,Kepler-315,1160.63000000,3.77000000,,96.10114100000,0.4020000000,409.00,5796.00,0.00383,1.037000,0.831000,12.3000,,Transit,2014,0
Kepler-1078 b,Kepler-1078,2481.71000000,1.90000000,,3.00725242000,0.0388000000,1122.00,5612.00,0.50027,0.920000,0.940000,4.3700,,Transit,2016,0
TOI-206 b,TOI-206,47.74650000,1.30000000,,0.73631040000,0.0112000000,910.00,3383.00,-1.83581,0.350000,0.350000,,,Transit,2022,0
TOI-2669 b,TOI-2669,393.44300000,19.72780603,1.93875328270000e+02,6.20340000000,,1226.00,4800.00,0.90600,4.100000,1.190000,5.9000,,Transit,2022,0
Kepler-1038 b,Kepler-1038,584.13600000,3.53000000,,148.46033820000,0.5238000000,285.00,5335.00,-0.36200,0.830000,0.870000,4.2700,,Transit,2016,0
Kepler-1802 c,Kepler-1802,636.69400000,2.32200000,,33.13610077000,0.1748000000,357.00,4245.00,-0.92500,0.637000,0.649000,13.9000,,Transit,2021,0
TOI-4029 b,TOI-4029,274.43600000,6.73756618,,5.88498234631,,1142.00,5662.53,0.12452,1.178340,1.018000,,,Transit,2026,0
TOI-1136 b,TOI-1136,84.53620000,1.90000000,3.50000000000000e+00,4.17270000000,0.0510600000,1216.00,5770.00,-0.02687,0.968000,1.022000,0.7000,,Transit,2022,0
Kepler-1887 b,Kepler-1887,1366.18000000,2.92454357,,19.94750023000,0.1421000000,625.00,5749.00,-0.18953,0.864000,0.961000,0.5000,,Transit,2021,0
HAT-P-65 b,HAT-P-65,738.51900000,18.05766791,1.76076937478000e+02,2.60544751000,0.0404200000,1818.00,5872.00,0.47276,1.666000,1.297000,3.9000,G2,Transit,2016,0
CI Tau c,CI Tau,157.99800000,13.00000000,,25.20000000000,0.1700000000,,3807.00,-0.25458,1.880857,0.900000,0.0025,K7,Radial Velocity,2024,0
Kepler-1632 b,Kepler-1632,716.76000000,2.47000000,,448.30355800000,0.6762000000,369.00,6137.00,0.40631,1.190000,1.120000,3.0900,,Transit,2016,0
Kepler-1306 b,Kepler-1306,1107.50000000,1.91000000,,16.29595382000,0.1230000000,678.00,5727.00,-0.06343,0.970000,0.980000,4.5700,,Transit,2016,0
Kepler-1925 b,Kepler-1925,1771.31000000,3.00177922,,46.71640015000,0.2588000000,531.00,5856.00,0.36494,1.092000,1.057000,,,Transit,2021,0
LHS 1678 b,LHS 1678,19.87820000,0.68500000,3.50000000000000e-01,0.86023250000,0.0123900000,830.44,3490.00,-1.83863,0.329000,0.345000,7.0000,M2.0 V,Transit,2021,0
TOI-1273 b,TOI-1273,177.11800000,11.09689089,7.05579063540000e+01,4.63129600000,0.0549000000,1211.00,5690.00,0.02938,1.060000,1.060000,3.1000,,Transit,2024,0
TOI-1199 b,TOI-1199,248.42700000,10.51402390,7.59609892730000e+01,3.67146300000,0.0498800000,1486.00,5710.00,0.30428,1.450000,1.230000,4.2000,,Transit,2024,0
HD 220773 b,HD 220773,50.51030000,13.60000000,,3724.70000000000,4.9400000000,,5940.00,0.49796,1.679696,1.160000,4.4000,F9,Radial Velocity,2011,0
Kepler-60 d,Kepler-60,1025.10000000,1.99000000,4.16000000000000e+00,11.89810000000,0.1020300000,929.00,5905.00,0.36906,1.257000,1.041000,8.9100,,Transit,2012,0
Kepler-1452 b,Kepler-1452,996.32000000,2.70000000,,42.91375100000,0.2576400000,810.00,6101.00,0.72107,2.060000,1.410000,3.2400,,Transit,2016,0
TOI-4405 b,TOI-4405,155.50100000,2.55505441,,5.92143995316,,671.87,4467.38,-0.81302,0.687025,0.680000,,,Transit,2026,0
Kepler-1686 b,Kepler-1686,729.82300000,1.42553017,,9.30987000000,0.0882700000,913.00,5714.96,0.14075,1.199510,1.020000,4.3700,,Transit,2020,0
HD 130322 b,HD 130322,31.87660000,13.70000000,,10.70871000000,0.0925000000,720.00,5387.00,-0.23544,0.850000,0.920000,0.3500,K0 V,Radial Velocity,1999,0
Kepler-1138 b,Kepler-1138,872.32800000,1.70000000,,3.17060005000,0.0415000000,1080.00,5582.00,-0.33299,0.920000,0.950000,4.3700,,Transit,2016,0
GJ 1214 b,GJ 1214,14.64270000,2.73300000,8.41000000000000e+00,1.58040453100,0.0150500000,567.00,3101.00,-2.40894,0.216200,0.182000,3.0000,M4 V,Transit,2009,0
TOI-4438 b,TOI-4438,30.03460000,2.52000000,5.40000000000000e+00,7.44628000000,0.0534000000,435.00,3422.00,-1.76802,0.372000,0.368000,5.1000,M3.5 V,Transit,2024,0
Kepler-584 b,Kepler-584,1848.84000000,4.21000000,,35.18103040000,0.2281000000,664.00,6195.00,0.52004,1.240000,1.170000,2.8800,,Transit,2016,0
Kepler-1961 b,Kepler-1961,1042.45000000,1.61878080,,5.60471010200,0.0588000000,866.00,5401.00,-0.27557,0.777000,0.871000,,,Transit,2021,0
